Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.12     79.93     0.10 20849182     0.00     0.00  xsd::cxx::tree::sequence<SimulinkModel::XSD::performance_T, false>::~sequence()
  0.12     80.03     0.10 20849181     0.00     0.00  BLG::bledge_T** std::uninitialized_copy<__gnu_cxx::__normal_iterator<BLG::bledge_T* const*, std::vector<BLG::bledge_T*, std::allocator<BLG::bledge_T*> > >, BLG::bledge_T**>(__gnu_cxx::__normal_iterator<BLG::bledge_T* const*, std::vector<BLG::bledge_T*, std::allocator<BLG::bledge_T*> > >, __gnu_cxx::__normal_iterator<BLG::bledge_T* const*, std::vector<BLG::bledge_T*, std::allocator<BLG::bledge_T*> > >, BLG::bledge_T**)
  0.12     80.13     0.10 20849181     0.00     0.00  BLG::bledge_T** std::copy<__gnu_cxx::__normal_iterator<BLG::bledge_T* const*, std::vector<BLG::bledge_T*, std::allocator<BLG::bledge_T*> > >, BLG::bledge_T**>(__gnu_cxx::__normal_iterator<BLG::bledge_T* const*, std::vector<BLG::bledge_T*, std::allocator<BLG::bledge_T*> > >, __gnu_cxx::__normal_iterator<BLG::bledge_T* const*, std::vector<BLG::bledge_T*, std::allocator<BLG::bledge_T*> > >, BLG::bledge_T**)
  0.12     80.23     0.10 15791566     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > std::find<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, std::string>(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, std::string const&)
  0.11     80.33     0.10 25906800     0.00     0.00  std::vector<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> >::assign(unsigned long, xsd::cxx::tree::sequence_common::ptr const&)
  0.10     80.42     0.09 84015443     0.00     0.00  __gnu_cxx::new_allocator<std::string>::max_size() const
  0.10     80.51     0.09 47018177     0.00     0.00  void std::_Destroy<xsd::cxx::tree::sequence_common::ptr*, xsd::cxx::tree::sequence_common::ptr>(xsd::cxx::tree::sequence_common::ptr*, xsd::cxx::tree::sequence_common::ptr*, std::allocator<xsd::cxx::tree::sequence_common::ptr>&)
  0.10     80.60     0.09 36640747     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::string> >::_S_select_on_copy(std::allocator<std::string> const&)
  0.10     80.69     0.09 36640747     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::begin() const
  0.10     80.78     0.09 25906758     0.00     0.00  std::vector<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> >::_M_erase_at_end(xsd::cxx::tree::sequence_common::ptr*)
  0.10     80.87     0.09 25906758     0.00     0.00  __gnu_cxx::__enable_if<!std::__is_scalar<xsd::cxx::tree::sequence_common::ptr>::__value, xsd::cxx::tree::sequence_common::ptr*>::__type std::__fill_n_a<xsd::cxx::tree::sequence_common::ptr*, unsigned long, xsd::cxx::tree::sequence_common::ptr>(xsd::cxx::tree::sequence_common::ptr*, unsigned long, xsd::cxx::tree::sequence_common::ptr const&)
  0.10     80.96     0.09 20849194     0.00     0.00  void std::_Destroy<BLG::bledge_T**>(BLG::bledge_T**, BLG::bledge_T**)
  0.10     81.05     0.09 20849182     0.00     0.00  BLG::blnode_T** std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<BLG::blnode_T* const*, std::vector<BLG::blnode_T*, std::allocator<BLG::blnode_T*> > >, BLG::blnode_T**, BLG::blnode_T*>(__gnu_cxx::__normal_iterator<BLG::blnode_T* const*, std::vector<BLG::blnode_T*, std::allocator<BLG::blnode_T*> > >, __gnu_cxx::__normal_iterator<BLG::blnode_T* const*, std::vector<BLG::blnode_T*, std::allocator<BLG::blnode_T*> > >, BLG::blnode_T**, std::allocator<BLG::blnode_T*>&)
  0.10     81.13     0.09 41698364     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<BLG::blnode_T* const*, std::vector<BLG::blnode_T*, std::allocator<BLG::blnode_T*> > >, false>::_S_base(__gnu_cxx::__normal_iterator<BLG::blnode_T* const*, std::vector<BLG::blnode_T*, std::allocator<BLG::blnode_T*> > >)
  0.10     81.22     0.09 20849182     0.00     0.00  std::vector<BLG::blnode_T*, std::allocator<BLG::blnode_T*> >::begin() const
